year,country_of_birth,visa_subclass,visa_category,settlement_state,processing_days
2016,China,189 Skilled Indep,Skilled,NSW,494
2020,India,482 Temp Skill,Temporary,ACT,261
2021,NZ,400 Temp Work,Temporary,QLD,391
2024,China,491 Skilled Regional,Skilled,NSW,704
2019,India,190 Skilled Nom,Skilled,VIC,599
2021,Pakistan,500 Student,Student,VIC,375
2018,Nepal,200 Refugee,Humanitarian,NSW,365
2023,Pakistan,500 Student,Student,VIC,241
2023,Germany,190 Skilled Nom,Skilled,QLD,466
2024,India,482 Temp Skill,Temporary,WA,538
2024,Germany,500 Student,Student,NSW,253
2015,South Korea,500 Student,Student,QLD,608
2022,Philippines,200 Refugee,Humanitarian,WA,422
2019,Philippines,500 Student,Student,SA,672
2023,India,820 Partner Temp,Family,NSW,657
2019,India,202 Global Special,Humanitarian,TAS,416
2016,UK,801 Partner Perm,Family,NSW,143
2020,China,143 Parent,Family,VIC,173
2015,Philippines,202 Global Special,Humanitarian,VIC,676
2017,India,491 Skilled Regional,Skilled,SA,84
2024,NZ,500 Student,Student,VIC,517
2024,Philippines,400 Temp Work,Temporary,VIC,715
2022,Germany,485 Temp Graduate,Temporary,VIC,165
2019,Germany,202 Global Special,Humanitarian,NSW,399
2015,India,482 Temp Skill,Temporary,VIC,270
2018,India,482 Temp Skill,Temporary,QLD,133
2017,South Korea,190 Skilled Nom,Skilled,VIC,456
2020,India,491 Skilled Regional,Skilled,QLD,180
2020,NZ,190 Skilled Nom,Skilled,SA,411
2022,Philippines,485 Temp Graduate,Temporary,QLD,531
2022,Vietnam,200 Refugee,Humanitarian,QLD,604
2021,Indonesia,801 Partner Perm,Family,NSW,34
2021,NZ,820 Partner Temp,Family,NSW,474
2016,Sri Lanka,190 Skilled Nom,Skilled,VIC,170
2015,China,482 Temp Skill,Temporary,SA,413
2018,India,482 Temp Skill,Temporary,ACT,243
2021,UK,491 Skilled Regional,Skilled,VIC,501
2015,Pakistan,485 Temp Graduate,Temporary,SA,69
2021,Germany,500 Student,Student,VIC,620
2022,Philippines,482 Temp Skill,Temporary,NSW,266
2023,UK,500 Student,Student,NSW,518
2021,China,189 Skilled Indep,Skilled,QLD,341
2020,Pakistan,485 Temp Graduate,Temporary,WA,98
2018,India,500 Student,Student,ACT,106
2023,India,190 Skilled Nom,Skilled,VIC,294
2023,Sri Lanka,820 Partner Temp,Family,VIC,431
2020,Philippines,500 Student,Student,VIC,596
2022,India,485 Temp Graduate,Temporary,VIC,728
2019,China,500 Student,Student,NSW,595
2023,UK,500 Student,Student,WA,313
2023,Philippines,485 Temp Graduate,Temporary,ACT,309
2023,Nepal,482 Temp Skill,Temporary,NSW,231
2021,India,190 Skilled Nom,Skilled,QLD,508
2024,Philippines,400 Temp Work,Temporary,SA,68
2023,Bangladesh,500 Student,Student,QLD,52
2018,Malaysia,485 Temp Graduate,Temporary,WA,129
2016,Philippines,485 Temp Graduate,Temporary,VIC,371
2022,India,485 Temp Graduate,Temporary,VIC,645
2018,Vietnam,189 Skilled Indep,Skilled,VIC,516
2023,China,190 Skilled Nom,Skilled,VIC,64
2015,UK,500 Student,Student,VIC,533
2016,UK,485 Temp Graduate,Temporary,NSW,596
2016,India,190 Skilled Nom,Skilled,WA,31
2015,Philippines,491 Skilled Regional,Skilled,VIC,348
2015,Vietnam,189 Skilled Indep,Skilled,QLD,701
2015,Sri Lanka,485 Temp Graduate,Temporary,WA,552
2015,India,482 Temp Skill,Temporary,SA,513
2015,India,482 Temp Skill,Temporary,SA,48
2018,Philippines,485 Temp Graduate,Temporary,QLD,233
2020,India,202 Global Special,Humanitarian,NSW,318
2017,Malaysia,491 Skilled Regional,Skilled,NSW,410
2019,China,500 Student,Student,NSW,661
2016,Philippines,500 Student,Student,NSW,59
2024,Philippines,500 Student,Student,NSW,194
2017,NZ,202 Global Special,Humanitarian,NSW,711
2022,UK,190 Skilled Nom,Skilled,NSW,431
2017,Malaysia,491 Skilled Regional,Skilled,VIC,300
2024,Pakistan,190 Skilled Nom,Skilled,VIC,74
2017,India,189 Skilled Indep,Skilled,ACT,325
2015,Nepal,500 Student,Student,NSW,605
2018,India,500 Student,Student,VIC,75
2015,Vietnam,482 Temp Skill,Temporary,VIC,243
2024,UK,190 Skilled Nom,Skilled,QLD,303
2024,China,189 Skilled Indep,Skilled,NSW,494
2017,Philippines,500 Student,Student,QLD,328
2015,Nepal,485 Temp Graduate,Temporary,NSW,586
2023,Nepal,482 Temp Skill,Temporary,NSW,623
2024,Germany,500 Student,Student,SA,448
2024,India,482 Temp Skill,Temporary,SA,362
2023,India,482 Temp Skill,Temporary,NSW,255
2020,NZ,491 Skilled Regional,Skilled,NSW,244
2016,Vietnam,189 Skilled Indep,Skilled,VIC,613
2019,Vietnam,500 Student,Student,WA,560
2016,UK,500 Student,Student,VIC,501
2022,Sri Lanka,190 Skilled Nom,Skilled,QLD,517
2021,Philippines,500 Student,Student,QLD,584
2019,Nepal,485 Temp Graduate,Temporary,VIC,404
2022,Pakistan,820 Partner Temp,Family,WA,192
2022,India,143 Parent,Family,WA,37
2016,Germany,189 Skilled Indep,Skilled,WA,517
2018,NZ,491 Skilled Regional,Skilled,VIC,176
2022,South Korea,500 Student,Student,NSW,253
2019,China,143 Parent,Family,ACT,478
2023,UK,500 Student,Student,QLD,589
2024,China,500 Student,Student,NSW,87
2024,South Korea,482 Temp Skill,Temporary,WA,727
2020,India,200 Refugee,Humanitarian,NSW,272
2018,Sri Lanka,200 Refugee,Humanitarian,NSW,239
2021,China,485 Temp Graduate,Temporary,NSW,485
2021,Germany,485 Temp Graduate,Temporary,QLD,279
2024,Germany,485 Temp Graduate,Temporary,NSW,109
2021,Nepal,189 Skilled Indep,Skilled,WA,581
2022,India,485 Temp Graduate,Temporary,NSW,300
2024,Pakistan,482 Temp Skill,Temporary,VIC,633
2021,Philippines,820 Partner Temp,Family,NSW,724
2023,Indonesia,485 Temp Graduate,Temporary,SA,505
2019,South Korea,500 Student,Student,WA,533
2019,Pakistan,491 Skilled Regional,Skilled,WA,726
2018,South Korea,189 Skilled Indep,Skilled,WA,224
2016,Nepal,190 Skilled Nom,Skilled,ACT,388
2017,China,482 Temp Skill,Temporary,VIC,188
2024,Philippines,801 Partner Perm,Family,VIC,137
2017,China,143 Parent,Family,NSW,229
2017,India,190 Skilled Nom,Skilled,VIC,336
2022,India,143 Parent,Family,WA,588
2021,Germany,485 Temp Graduate,Temporary,QLD,562
2018,China,485 Temp Graduate,Temporary,TAS,469
2018,Nepal,482 Temp Skill,Temporary,WA,614
2016,Philippines,500 Student,Student,NSW,350
2015,India,189 Skilled Indep,Skilled,NSW,655
2015,India,485 Temp Graduate,Temporary,VIC,436
2017,USA,500 Student,Student,QLD,495
2020,India,485 Temp Graduate,Temporary,NSW,678
2019,Philippines,500 Student,Student,WA,156
2022,Pakistan,143 Parent,Family,NSW,710
2023,South Korea,400 Temp Work,Temporary,WA,87
2020,India,500 Student,Student,QLD,355
2018,South Korea,485 Temp Graduate,Temporary,NSW,110
2024,Nepal,820 Partner Temp,Family,NSW,159
2016,China,202 Global Special,Humanitarian,VIC,88
2021,NZ,485 Temp Graduate,Temporary,QLD,458
2017,India,500 Student,Student,QLD,142
2021,Nepal,189 Skilled Indep,Skilled,NSW,67
2024,Sri Lanka,189 Skilled Indep,Skilled,VIC,150
2016,Philippines,190 Skilled Nom,Skilled,QLD,52
2023,UK,190 Skilled Nom,Skilled,SA,195
2016,India,482 Temp Skill,Temporary,QLD,68
2022,China,500 Student,Student,NSW,363
2018,China,485 Temp Graduate,Temporary,NSW,416
2020,Nepal,801 Partner Perm,Family,NSW,714
2018,USA,482 Temp Skill,Temporary,NSW,364
2024,Sri Lanka,801 Partner Perm,Family,NSW,524
2020,Germany,491 Skilled Regional,Skilled,QLD,175
2021,China,190 Skilled Nom,Skilled,WA,610
2020,India,482 Temp Skill,Temporary,VIC,44
2019,Malaysia,202 Global Special,Humanitarian,SA,192
2017,India,500 Student,Student,WA,535
2018,India,820 Partner Temp,Family,SA,145
2023,UK,400 Temp Work,Temporary,ACT,509
2019,Malaysia,485 Temp Graduate,Temporary,NSW,53
2019,Vietnam,190 Skilled Nom,Skilled,QLD,667
2022,Vietnam,500 Student,Student,QLD,680
2024,Germany,820 Partner Temp,Family,NSW,492
2017,Pakistan,190 Skilled Nom,Skilled,VIC,607
2023,Germany,485 Temp Graduate,Temporary,SA,575
2023,China,189 Skilled Indep,Skilled,VIC,649
2017,China,189 Skilled Indep,Skilled,VIC,423
2016,India,500 Student,Student,QLD,38
2024,China,200 Refugee,Humanitarian,QLD,47
2017,UK,820 Partner Temp,Family,NSW,381
2015,UK,485 Temp Graduate,Temporary,NSW,458
2016,Vietnam,482 Temp Skill,Temporary,NSW,715
2018,Philippines,400 Temp Work,Temporary,QLD,546
2015,Philippines,482 Temp Skill,Temporary,QLD,374
2018,Sri Lanka,190 Skilled Nom,Skilled,NSW,371
2021,India,500 Student,Student,NSW,84
2022,Bangladesh,485 Temp Graduate,Temporary,VIC,326
2023,China,485 Temp Graduate,Temporary,VIC,325
2023,India,485 Temp Graduate,Temporary,NSW,498
2024,Philippines,485 Temp Graduate,Temporary,SA,429
2018,NZ,820 Partner Temp,Family,VIC,728
2022,Sri Lanka,491 Skilled Regional,Skilled,NSW,364
2021,India,820 Partner Temp,Family,QLD,117
2015,India,400 Temp Work,Temporary,SA,195
2017,Pakistan,820 Partner Temp,Family,WA,263
2017,China,202 Global Special,Humanitarian,VIC,495
2017,Nepal,801 Partner Perm,Family,ACT,419
2017,Vietnam,485 Temp Graduate,Temporary,NSW,37
2018,China,500 Student,Student,VIC,78
2017,China,485 Temp Graduate,Temporary,VIC,302
2017,India,801 Partner Perm,Family,VIC,153
2017,Philippines,485 Temp Graduate,Temporary,NSW,593
2021,India,801 Partner Perm,Family,VIC,181
2017,China,485 Temp Graduate,Temporary,QLD,682
2016,USA,500 Student,Student,NSW,250
2023,NZ,190 Skilled Nom,Skilled,QLD,194
2018,India,500 Student,Student,NSW,227
2024,Nepal,485 Temp Graduate,Temporary,NSW,337
2021,Malaysia,485 Temp Graduate,Temporary,VIC,129
2017,NZ,189 Skilled Indep,Skilled,VIC,419
2016,UK,485 Temp Graduate,Temporary,VIC,557
2023,Pakistan,482 Temp Skill,Temporary,VIC,635
2017,Philippines,485 Temp Graduate,Temporary,WA,306
2015,Pakistan,485 Temp Graduate,Temporary,NSW,127
2021,Pakistan,482 Temp Skill,Temporary,VIC,316
2015,South Korea,500 Student,Student,QLD,418
2015,Vietnam,202 Global Special,Humanitarian,NSW,212
2022,NZ,143 Parent,Family,QLD,313
2017,India,500 Student,Student,SA,287
2022,Germany,190 Skilled Nom,Skilled,ACT,110
2021,Sri Lanka,485 Temp Graduate,Temporary,SA,541
2015,Bangladesh,485 Temp Graduate,Temporary,VIC,406
2024,China,485 Temp Graduate,Temporary,VIC,664
2018,Germany,801 Partner Perm,Family,NSW,131
2022,South Korea,485 Temp Graduate,Temporary,NSW,439
2021,China,801 Partner Perm,Family,QLD,667
2018,India,202 Global Special,Humanitarian,NSW,636
2023,China,500 Student,Student,WA,271
2015,UK,485 Temp Graduate,Temporary,VIC,288
2018,NZ,485 Temp Graduate,Temporary,VIC,561
2024,Philippines,485 Temp Graduate,Temporary,VIC,615
2017,India,482 Temp Skill,Temporary,NSW,287
2019,Philippines,820 Partner Temp,Family,VIC,501
2023,China,500 Student,Student,QLD,491
2017,Vietnam,485 Temp Graduate,Temporary,QLD,555
2017,India,190 Skilled Nom,Skilled,QLD,121
2017,India,200 Refugee,Humanitarian,QLD,721
2022,Pakistan,190 Skilled Nom,Skilled,QLD,280
2020,UK,190 Skilled Nom,Skilled,WA,236
2019,India,500 Student,Student,NSW,581
2023,China,190 Skilled Nom,Skilled,QLD,250
2021,Vietnam,189 Skilled Indep,Skilled,QLD,511
2016,China,482 Temp Skill,Temporary,NSW,676
2024,China,500 Student,Student,NSW,266
2021,Germany,485 Temp Graduate,Temporary,SA,180
2023,China,500 Student,Student,ACT,64
2021,Philippines,143 Parent,Family,VIC,544
2024,Bangladesh,482 Temp Skill,Temporary,QLD,462
2018,Nepal,482 Temp Skill,Temporary,VIC,626
2019,Malaysia,801 Partner Perm,Family,NSW,263
2020,India,482 Temp Skill,Temporary,VIC,551
2018,Nepal,500 Student,Student,VIC,95
2020,Philippines,820 Partner Temp,Family,WA,356
2024,Sri Lanka,189 Skilled Indep,Skilled,VIC,442
2022,UK,500 Student,Student,WA,663
2017,Vietnam,482 Temp Skill,Temporary,QLD,469
2022,India,485 Temp Graduate,Temporary,NSW,222
2015,Indonesia,485 Temp Graduate,Temporary,SA,70
2016,India,500 Student,Student,WA,62
2018,China,820 Partner Temp,Family,NSW,403
2021,China,482 Temp Skill,Temporary,NSW,342
2016,South Korea,500 Student,Student,NSW,531
2021,China,485 Temp Graduate,Temporary,WA,609
2021,China,485 Temp Graduate,Temporary,VIC,640
2024,South Korea,400 Temp Work,Temporary,QLD,548
2018,India,485 Temp Graduate,Temporary,NSW,367
2024,China,190 Skilled Nom,Skilled,QLD,515
2017,India,491 Skilled Regional,Skilled,QLD,450
2023,Malaysia,485 Temp Graduate,Temporary,WA,578
2021,Malaysia,482 Temp Skill,Temporary,WA,484
2021,Nepal,820 Partner Temp,Family,NSW,545
2018,South Korea,485 Temp Graduate,Temporary,VIC,631
2016,Pakistan,500 Student,Student,QLD,467
2019,NZ,143 Parent,Family,VIC,236
2019,India,485 Temp Graduate,Temporary,QLD,363
2021,China,200 Refugee,Humanitarian,NSW,429
2015,Pakistan,202 Global Special,Humanitarian,QLD,498
2019,India,202 Global Special,Humanitarian,QLD,129
2023,India,485 Temp Graduate,Temporary,WA,123
2023,Nepal,482 Temp Skill,Temporary,QLD,462
2019,Indonesia,482 Temp Skill,Temporary,ACT,669
2020,China,491 Skilled Regional,Skilled,NSW,664
2023,China,190 Skilled Nom,Skilled,NSW,286
2024,China,485 Temp Graduate,Temporary,NSW,648
2017,China,190 Skilled Nom,Skilled,NSW,116
2020,Philippines,485 Temp Graduate,Temporary,NSW,157
2021,Vietnam,500 Student,Student,VIC,569
2020,Nepal,482 Temp Skill,Temporary,VIC,217
2017,NZ,190 Skilled Nom,Skilled,WA,379
2022,China,482 Temp Skill,Temporary,QLD,475
2021,Germany,190 Skilled Nom,Skilled,VIC,401
2020,China,820 Partner Temp,Family,VIC,367
2016,Philippines,485 Temp Graduate,Temporary,WA,655
2022,UK,485 Temp Graduate,Temporary,QLD,142
2018,NZ,500 Student,Student,NSW,516
2021,Sri Lanka,482 Temp Skill,Temporary,QLD,74
2019,Nepal,400 Temp Work,Temporary,VIC,438
2015,Vietnam,500 Student,Student,NSW,150
2023,China,485 Temp Graduate,Temporary,VIC,161
2020,India,189 Skilled Indep,Skilled,SA,160
2016,Philippines,801 Partner Perm,Family,QLD,475
2019,India,189 Skilled Indep,Skilled,VIC,298
2017,Vietnam,400 Temp Work,Temporary,VIC,222
2023,South Korea,189 Skilled Indep,Skilled,WA,608
2019,South Korea,190 Skilled Nom,Skilled,VIC,286
2017,India,485 Temp Graduate,Temporary,NSW,292
2023,Malaysia,500 Student,Student,WA,297
2021,India,400 Temp Work,Temporary,NSW,594
2017,Nepal,189 Skilled Indep,Skilled,QLD,706
2021,China,200 Refugee,Humanitarian,NSW,419
2017,USA,485 Temp Graduate,Temporary,NSW,549
2022,India,491 Skilled Regional,Skilled,NSW,705
2019,Philippines,491 Skilled Regional,Skilled,QLD,224
2023,NZ,500 Student,Student,VIC,75
2016,South Korea,189 Skilled Indep,Skilled,ACT,102
2017,Philippines,482 Temp Skill,Temporary,VIC,444
2019,Malaysia,189 Skilled Indep,Skilled,QLD,242
2023,South Korea,400 Temp Work,Temporary,VIC,199
2016,Nepal,500 Student,Student,VIC,506
2024,NZ,485 Temp Graduate,Temporary,WA,452
2015,Bangladesh,400 Temp Work,Temporary,QLD,50
2017,Germany,485 Temp Graduate,Temporary,NSW,357
2020,Nepal,202 Global Special,Humanitarian,NSW,391
2020,China,190 Skilled Nom,Skilled,TAS,622
2019,Philippines,801 Partner Perm,Family,QLD,703
2016,UK,500 Student,Student,VIC,670
2022,India,200 Refugee,Humanitarian,VIC,512
2022,India,400 Temp Work,Temporary,QLD,122
2022,Philippines,482 Temp Skill,Temporary,WA,609
2023,Pakistan,801 Partner Perm,Family,VIC,412
2018,Bangladesh,485 Temp Graduate,Temporary,VIC,72
2018,India,820 Partner Temp,Family,VIC,147
2017,UK,820 Partner Temp,Family,VIC,601
2023,Sri Lanka,500 Student,Student,NSW,415
2016,China,485 Temp Graduate,Temporary,WA,629
2024,Vietnam,500 Student,Student,VIC,684
2024,India,801 Partner Perm,Family,VIC,314
2020,Vietnam,189 Skilled Indep,Skilled,VIC,297
2019,China,491 Skilled Regional,Skilled,VIC,364
2019,Pakistan,485 Temp Graduate,Temporary,NSW,356
2023,India,400 Temp Work,Temporary,VIC,236
2024,Bangladesh,189 Skilled Indep,Skilled,NSW,352
2017,India,485 Temp Graduate,Temporary,VIC,613
2022,Nepal,190 Skilled Nom,Skilled,VIC,220
2023,China,485 Temp Graduate,Temporary,WA,416
2018,Philippines,820 Partner Temp,Family,TAS,349
2018,Nepal,482 Temp Skill,Temporary,WA,499
2015,Sri Lanka,485 Temp Graduate,Temporary,NSW,653
2017,UK,189 Skilled Indep,Skilled,VIC,162
2020,India,485 Temp Graduate,Temporary,NSW,87
2020,Vietnam,189 Skilled Indep,Skilled,NSW,576
2022,Nepal,491 Skilled Regional,Skilled,TAS,132
2023,Indonesia,820 Partner Temp,Family,QLD,476
2018,India,143 Parent,Family,VIC,369
2017,South Korea,482 Temp Skill,Temporary,QLD,62
2017,China,500 Student,Student,ACT,518
2019,Philippines,189 Skilled Indep,Skilled,VIC,716
2016,India,500 Student,Student,NSW,154
2021,India,500 Student,Student,WA,648
2016,India,801 Partner Perm,Family,QLD,608
2021,China,485 Temp Graduate,Temporary,QLD,248
2016,USA,482 Temp Skill,Temporary,WA,236
2023,Pakistan,500 Student,Student,SA,79
2023,Bangladesh,500 Student,Student,NSW,397
2021,China,189 Skilled Indep,Skilled,NSW,298
2024,India,189 Skilled Indep,Skilled,VIC,66
2018,Nepal,189 Skilled Indep,Skilled,NSW,570
2019,NZ,820 Partner Temp,Family,QLD,445
2017,China,190 Skilled Nom,Skilled,VIC,158
2021,Philippines,202 Global Special,Humanitarian,VIC,42
2019,China,189 Skilled Indep,Skilled,NSW,217
2024,China,485 Temp Graduate,Temporary,VIC,452
2021,Vietnam,485 Temp Graduate,Temporary,QLD,235
2015,UK,189 Skilled Indep,Skilled,NSW,434
2016,UK,190 Skilled Nom,Skilled,NSW,274
2022,Philippines,801 Partner Perm,Family,WA,48
2023,South Korea,482 Temp Skill,Temporary,NSW,221
2021,Malaysia,400 Temp Work,Temporary,WA,398
2024,India,485 Temp Graduate,Temporary,VIC,130
2023,Pakistan,482 Temp Skill,Temporary,WA,695
2022,Indonesia,190 Skilled Nom,Skilled,NSW,551
2022,Vietnam,482 Temp Skill,Temporary,VIC,167
2018,India,500 Student,Student,NSW,594
2015,USA,202 Global Special,Humanitarian,NSW,270
2020,Nepal,482 Temp Skill,Temporary,NSW,576
2022,Bangladesh,485 Temp Graduate,Temporary,NSW,273
2023,India,801 Partner Perm,Family,TAS,442
2021,India,500 Student,Student,NSW,630
2019,China,485 Temp Graduate,Temporary,VIC,551
2016,Pakistan,485 Temp Graduate,Temporary,NSW,260
2019,UK,400 Temp Work,Temporary,WA,42
2024,China,500 Student,Student,QLD,41
2021,Malaysia,482 Temp Skill,Temporary,QLD,121
2022,Bangladesh,500 Student,Student,VIC,338
2024,Sri Lanka,801 Partner Perm,Family,VIC,724
2017,India,500 Student,Student,QLD,117
2017,Philippines,485 Temp Graduate,Temporary,VIC,85
2022,Vietnam,500 Student,Student,VIC,483
2015,USA,500 Student,Student,VIC,685
2018,USA,485 Temp Graduate,Temporary,QLD,285
2023,Philippines,500 Student,Student,ACT,398
2023,India,190 Skilled Nom,Skilled,NSW,225
2016,India,190 Skilled Nom,Skilled,SA,132
2015,China,485 Temp Graduate,Temporary,NSW,254
2024,UK,485 Temp Graduate,Temporary,NSW,118
2020,China,801 Partner Perm,Family,TAS,617
2020,NZ,200 Refugee,Humanitarian,VIC,624
2021,China,485 Temp Graduate,Temporary,NSW,484
2022,Pakistan,485 Temp Graduate,Temporary,NSW,581
2018,China,485 Temp Graduate,Temporary,VIC,450
2020,Philippines,801 Partner Perm,Family,WA,486
2022,South Korea,482 Temp Skill,Temporary,VIC,674
2018,Pakistan,190 Skilled Nom,Skilled,VIC,639
2021,NZ,485 Temp Graduate,Temporary,VIC,631
2018,Nepal,143 Parent,Family,VIC,72
2024,Pakistan,400 Temp Work,Temporary,VIC,34
2015,India,482 Temp Skill,Temporary,QLD,586
2022,Philippines,820 Partner Temp,Family,VIC,339
2020,USA,485 Temp Graduate,Temporary,VIC,201
2021,Philippines,801 Partner Perm,Family,NSW,584
2017,Sri Lanka,200 Refugee,Humanitarian,QLD,169
2024,China,482 Temp Skill,Temporary,VIC,358
2019,Sri Lanka,491 Skilled Regional,Skilled,VIC,284
2022,India,143 Parent,Family,NSW,159
2015,India,820 Partner Temp,Family,VIC,421
2017,India,500 Student,Student,VIC,353
2023,Philippines,482 Temp Skill,Temporary,WA,168
2015,Vietnam,485 Temp Graduate,Temporary,VIC,37
2018,India,485 Temp Graduate,Temporary,NSW,284
2017,Germany,820 Partner Temp,Family,NSW,387
2018,India,143 Parent,Family,SA,706
2021,Bangladesh,820 Partner Temp,Family,SA,556
2023,India,482 Temp Skill,Temporary,VIC,702
2020,Malaysia,485 Temp Graduate,Temporary,TAS,206
2023,Vietnam,500 Student,Student,QLD,703
2022,India,801 Partner Perm,Family,VIC,411
2024,Philippines,189 Skilled Indep,Skilled,VIC,283
2016,China,820 Partner Temp,Family,NSW,133
2023,Germany,189 Skilled Indep,Skilled,VIC,280
2022,Philippines,189 Skilled Indep,Skilled,WA,296
2024,China,400 Temp Work,Temporary,QLD,697
2015,China,801 Partner Perm,Family,SA,452
2016,Pakistan,482 Temp Skill,Temporary,NSW,483
2015,Sri Lanka,491 Skilled Regional,Skilled,NSW,98
2015,Pakistan,491 Skilled Regional,Skilled,VIC,275
2017,Indonesia,500 Student,Student,NSW,459
2021,Pakistan,189 Skilled Indep,Skilled,WA,220
2018,NZ,485 Temp Graduate,Temporary,TAS,405
2016,Nepal,500 Student,Student,SA,81
2022,India,143 Parent,Family,VIC,475
2016,China,820 Partner Temp,Family,NSW,405
2024,Pakistan,189 Skilled Indep,Skilled,VIC,331
2018,Pakistan,400 Temp Work,Temporary,QLD,505
2015,India,485 Temp Graduate,Temporary,QLD,636
2016,India,400 Temp Work,Temporary,NSW,701
2015,Nepal,482 Temp Skill,Temporary,NSW,255
2017,Malaysia,500 Student,Student,QLD,273
2021,Sri Lanka,485 Temp Graduate,Temporary,NSW,729
2018,Philippines,482 Temp Skill,Temporary,NSW,70
2015,UK,190 Skilled Nom,Skilled,VIC,33
2018,India,820 Partner Temp,Family,VIC,628
2018,Nepal,500 Student,Student,ACT,705
2017,Pakistan,820 Partner Temp,Family,WA,257
2022,NZ,485 Temp Graduate,Temporary,NSW,277
2016,Vietnam,200 Refugee,Humanitarian,VIC,693
2020,NZ,189 Skilled Indep,Skilled,VIC,619
2015,Philippines,820 Partner Temp,Family,QLD,338
2019,Sri Lanka,485 Temp Graduate,Temporary,SA,146
2022,Malaysia,190 Skilled Nom,Skilled,VIC,36
2018,Sri Lanka,485 Temp Graduate,Temporary,WA,431
2016,China,189 Skilled Indep,Skilled,NSW,499
2020,Philippines,143 Parent,Family,QLD,178
2024,Pakistan,491 Skilled Regional,Skilled,WA,383
2022,Malaysia,482 Temp Skill,Temporary,SA,95
2019,Nepal,485 Temp Graduate,Temporary,NSW,59
2021,USA,482 Temp Skill,Temporary,SA,230
2018,India,820 Partner Temp,Family,VIC,235
2018,India,143 Parent,Family,NSW,378
2023,India,189 Skilled Indep,Skilled,VIC,113
2023,South Korea,801 Partner Perm,Family,VIC,337
2020,South Korea,500 Student,Student,WA,161
2022,Philippines,482 Temp Skill,Temporary,WA,554
2023,Nepal,190 Skilled Nom,Skilled,VIC,439
2021,Bangladesh,190 Skilled Nom,Skilled,VIC,441
2024,India,485 Temp Graduate,Temporary,VIC,50
2021,India,500 Student,Student,SA,637
2020,Philippines,190 Skilled Nom,Skilled,NSW,200
2022,Sri Lanka,400 Temp Work,Temporary,NSW,705
2021,Sri Lanka,500 Student,Student,NSW,557
2023,UK,500 Student,Student,VIC,330
2022,Sri Lanka,189 Skilled Indep,Skilled,VIC,247
2020,Philippines,820 Partner Temp,Family,WA,608
2022,Nepal,202 Global Special,Humanitarian,QLD,343
2023,India,482 Temp Skill,Temporary,QLD,424
2019,Vietnam,400 Temp Work,Temporary,QLD,430
2018,Philippines,482 Temp Skill,Temporary,WA,207
2023,India,500 Student,Student,WA,502
2016,Sri Lanka,820 Partner Temp,Family,SA,165
2020,India,200 Refugee,Humanitarian,NSW,395
2015,Philippines,500 Student,Student,NSW,706
2022,China,189 Skilled Indep,Skilled,SA,565
2024,Vietnam,485 Temp Graduate,Temporary,NSW,159
2024,India,485 Temp Graduate,Temporary,WA,117
2018,Bangladesh,500 Student,Student,NSW,524
2023,Sri Lanka,801 Partner Perm,Family,QLD,506
2021,India,189 Skilled Indep,Skilled,WA,467
2017,Vietnam,801 Partner Perm,Family,VIC,141
2015,India,485 Temp Graduate,Temporary,NSW,204
2021,India,200 Refugee,Humanitarian,NSW,79
2018,UK,482 Temp Skill,Temporary,QLD,243
2023,Philippines,500 Student,Student,NSW,275
2024,Philippines,190 Skilled Nom,Skilled,VIC,81
2021,India,482 Temp Skill,Temporary,QLD,567
2021,Sri Lanka,485 Temp Graduate,Temporary,NSW,423
2016,UK,190 Skilled Nom,Skilled,NSW,282
2018,Indonesia,400 Temp Work,Temporary,QLD,134
2023,India,485 Temp Graduate,Temporary,VIC,172
2019,Philippines,491 Skilled Regional,Skilled,QLD,360
2018,Philippines,500 Student,Student,QLD,701
2020,Nepal,190 Skilled Nom,Skilled,VIC,711
2020,Nepal,200 Refugee,Humanitarian,ACT,283
2019,China,820 Partner Temp,Family,NSW,294
2019,India,485 Temp Graduate,Temporary,SA,590
2020,Philippines,500 Student,Student,WA,69
2024,NZ,143 Parent,Family,VIC,271
2023,China,482 Temp Skill,Temporary,VIC,622
2020,UK,500 Student,Student,WA,625
2015,Germany,190 Skilled Nom,Skilled,VIC,696
2023,Pakistan,482 Temp Skill,Temporary,WA,87
2021,China,485 Temp Graduate,Temporary,VIC,703
2016,Vietnam,491 Skilled Regional,Skilled,VIC,642
2023,India,500 Student,Student,VIC,72
2020,Germany,485 Temp Graduate,Temporary,QLD,696
2017,Vietnam,190 Skilled Nom,Skilled,NSW,412
2023,China,190 Skilled Nom,Skilled,WA,601
2017,Nepal,189 Skilled Indep,Skilled,WA,36
2023,India,190 Skilled Nom,Skilled,VIC,516
2021,India,190 Skilled Nom,Skilled,VIC,432
2018,China,189 Skilled Indep,Skilled,NSW,726
2018,China,400 Temp Work,Temporary,QLD,50
2017,UK,485 Temp Graduate,Temporary,SA,499
2016,India,485 Temp Graduate,Temporary,VIC,498
2017,Pakistan,820 Partner Temp,Family,QLD,216
2018,Bangladesh,200 Refugee,Humanitarian,VIC,396
2017,India,485 Temp Graduate,Temporary,QLD,343
2018,Philippines,500 Student,Student,VIC,152
2018,Nepal,400 Temp Work,Temporary,NSW,71
2023,South Korea,500 Student,Student,VIC,500
2020,India,189 Skilled Indep,Skilled,VIC,729
2016,Indonesia,190 Skilled Nom,Skilled,VIC,105
2020,Nepal,500 Student,Student,NSW,277
